Index,User name,Start Time,Stop Time,Status,Mark To Pause,Label,Comment,Run ID,Line,Vial,Evaluate,Sample Type,Reference,Acquisition information Background Result,Kiel IV Initial Pressure,Kiel IV Acid Temperature,Linearity Correction Result,Pressure Adjust Target Intensity,High Voltage,Kiel IV Residual CO₂ Pressure,Peak Center Result,Kiel IV Non Condensable Pressure,Pressure Adjust Result Intensity,Initial Intensity from µ-Volume,Kiel IV Leak Rate,Pressure Adjust Initial Intensity,Ion Source Pressure,Pressure Adjust Bellow Position,Kiel IV CO₂ Sample Pressure,Measuring from,Pressure Adjust failed with Target Intensity,Cycle Number,Sample Intensities Sample Intensity 44.00 m/z,45.00 m/z,45.00 m/z__dup2,46.00 m/z,46.00 m/z__dup2,Standard Intensities Standard Intensity 44.00 m/z,"Molecule Deltas CO2 Brand, Assonov and Coplen d45CO2",d46CO2,"CO2 Brand, Assonov and Coplen (Avg.) d45CO2 Mean",d45CO2 SD,d45CO2 SE,d46CO2 Mean,d46CO2 SD,d46CO2 SE,d 13C/12C  Mean,d 13C/12C  Std Dev,d 18O/16O  Mean,d 18O/16O  Std Dev,Excel File,Date,Date_ordinal,leak_rate,p_gases,p_no_acid,total_co2,1  Cycle Int  Samp  44,Identifier 1,Species,Identifier 2
1.0,GIRMS\IRMS-operator,2026-01-26 16:06:20.121,2026-01-26 16:13:51.195,Error,False,SHP2L,<Comment>,1.0,1,2.0,True,QC Standard,SHP2L,"NA, NA, NA",23 µbar,72 °C,,,,,,,,,,,,,,,,Pre,,,,,,,,,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,2026-01-26 16:06:20.121,739642.0,,,,,,SHP2L,,<Comment>
2.0,GIRMS\IRMS-operator,2026-01-26 16:16:40.474,2026-01-26 17:06:22.498,Success,False,BTS,1003*,2.0,2,2.0,True,Unknown,,"0.001 V, 0.000 V, 0.001 V",,72 °C,,6.466 V,9.5210 kV,93 µbar,Carbon Dioxide: 0.0210 kV,550 µbar,6.109 V,7.328 V,220 µbar/min,2.261 V,7.87E-008 mbar,31 %,868 µbar,µ-Volume,,Pre,5.537903077302339,6.013251549884915,6.189555709017061,7.90427376197079,8.258653177482875,5.793785817323091,-2.107493826767892,-3.599755535206084,-2.146104913294492,0.03067170055692435,0.010844083727162206,-3.6028545924324806,0.012626081828257068,0.0047722103643885625,-2.1633057389940507,0.03335783174396704,-3.601893446778034,0.01265081001224537,Natan Pereira BTS coral series 1.xlsx,2026-01-26 16:16:40.474,739642.0,220.0,550.0,93.0,868.0,6.109,BTS,,1003*
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 1,5.384102580532089,5.8460395676178125,5.949251062557339,7.68488396571377,7.938054694397243,5.568867690263153,-2.1528576568744517,-3.581336698469162,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 2,5.236014981814971,5.685291893169523,5.720279819652676,7.473376883728297,7.632334715223476,5.354413911972037,-2.1577501128037246,-3.6124247161398726,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 3,5.090719229874971,5.527935630962491,5.5008693989034505,7.266034720087211,7.339780496506111,5.149022085728179,-2.1038513848189444,-3.6148366424503253,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 4,4.950548510447304,5.375640159658263,5.291275388881801,7.066098345978053,7.059765352470667,4.952654770786119,-2.147570107507546,-3.5985710697487017,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 5,4.813150232731212,5.226634151622891,5.089657346760403,6.870066541307778,6.7907546894381365,4.763847357926728,-2.146987900487618,-3.596444605875937,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 6,4.681732075236954,5.0840747424813495,4.896583185301589,6.682140125496181,6.532815589172634,4.582892861559,-2.150494695117189,-3.616612879137282,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 7,4.553497746552324,4.9445849725457425,4.711689753536444,6.499407185776026,6.285651985963365,4.409786402144441,-2.201833621978566,-3.554012697667752,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 8,,,4.5339887745268745,,6.048796071274073,4.2434942847178565,,,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
3.0,GIRMS\IRMS-operator,2026-01-26 16:45:41.146,2026-01-26 17:33:40.384,Success,False,BTS,642*,3.0,1,3.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",32 µbar,72 °C,,7.269 V,9.5209 kV,35 µbar,Carbon Dioxide: 0.0209 kV,69 µbar,7.321 V,8.161 V,44 µbar/min,6.000 V,8.77E-008 mbar,24 %,892 µbar,µ-Volume,,Pre,6.618458875976034,7.1881296250065025,7.423403834721192,9.448108588149868,9.90678620601634,6.949681886992879,-1.7617912750282905,-3.501583102839767,-1.7926937629408615,0.019891639293692986,0.0070327565167435475,-3.5066778394651497,0.0273992272945272,0.009687089709615862,-1.7884820728954336,0.021522893703444613,-3.5063927433135604,0.02743819482795519,Natan Pereira BTS coral series 1.xlsx,2026-01-26 16:45:41.146,739642.0,44.0,69.0,35.0,892.0,7.321,BTS,,642*
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 1,6.432136433342665,6.985861455859174,7.126394173055909,9.182128527085753,9.510639213473114,6.6715448728786875,-1.7723721369913292,-3.5203346347505438,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 2,6.249678500642791,6.787787460218601,6.844203256498509,8.921814475944362,9.133738790443264,6.407138920812221,-1.7941816939528454,-3.480529656714637,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 3,6.075975830261883,6.599423239582281,6.576207274723205,8.673650537422025,8.77535701674364,6.156039693001579,-1.7807019656802536,-3.50590169824172,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 4,5.907211551032492,6.416020097422137,6.319935702215366,8.432883955633205,8.433622632911526,5.915982215105344,-1.8153923543315909,-3.5163315055043443,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 5,5.744267353377767,6.239269288569601,6.076593466956117,8.200113138611657,8.108813811046778,5.688128776588191,-1.8012707147687657,-3.5301026875131924,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 6,5.58595741685433,6.067497503013329,5.843250355924605,7.97407764002643,7.797074829032741,5.469519743285605,-1.7978371691362849,-3.5417934044414956,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 7,5.431804904303975,5.900023671786655,5.619610928426914,7.754591618469081,7.498701248974559,5.260083922706076,-1.8180027936375298,-3.4568460257154987,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 8,,,5.406051120388478,,7.213306938102566,5.060134838136365,,,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
4.0,GIRMS\IRMS-operator,2026-01-26 17:06:22.618,2026-01-26 18:04:06.050,Success,False,BTS,384*,4.0,2,3.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",37 µbar,72 °C,,19.283 V,9.5206 kV,69 µbar,Carbon Dioxide: 0.0206 kV,81 µbar,13.759 V,23.143 V,117 µbar/min,7.154 V,1.36E-007 mbar,10 %,995 µbar,µ-Volume,17.107 V,Pre,17.084696553547545,18.507429142981792,14.262118942904666,24.36772515049932,19.037296669397332,13.366931341488527,-3.2862659414515383,-3.4996142601517732,-3.4855381115222044,0.1235055800756385,0.04366581659293106,-3.96607329527654,0.27616864968488586,0.09764036247165743,-3.5828554985091885,0.12211054077608953,-3.9624632011662775,0.2761915898952847,Natan Pereira BTS coral series 1.xlsx,2026-01-26 17:06:22.618,739642.0,117.0,81.0,69.0,995.0,13.759,BTS,,384*
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 1,16.239025853474303,17.593809147864604,13.385825534850385,23.160552279863335,17.866691248331048,12.543791197140381,-3.3420174176679307,-3.6634611933369365,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 2,15.449458025295897,16.73962988474968,12.582921167403487,22.03301121464727,16.793345706377007,11.788496039707823,-3.4070144033322425,-3.8568288987878008,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 3,14.712983034451174,15.94095744708183,11.84765317061546,20.98277737370489,15.813251631174067,11.099257729847595,-3.5212015614664027,-3.9634048189677307,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 4,14.028915427525208,15.200921078711774,11.183061381369855,20.00746657124517,14.926260011110285,10.475529357440049,-3.5503600280394343,-4.07382621926522,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 5,13.396092913944885,14.516078611403728,10.576558655009737,19.10526086560247,14.11729087105749,9.906409850718083,-3.5990093283576607,-4.194498413901404,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 6,12.808361314137146,13.880619777845734,10.023393412619855,18.268322245988823,13.37922145596502,9.387218616802855,-3.604272607541037,-4.255634198937375,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 7,12.257599495251343,13.285361906081464,9.53400947669151,17.484699981126763,12.726341979417779,8.928009532292053,-3.57416360432139,-4.221318358864079,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 8,,,9.100763958959755,,12.147312657747246,8.521595261891052,,,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,,,,,,,,,,
