Index,User name,Start Time,Stop Time,Status,Mark To Pause,Label,Comment,Run ID,Line,Vial,Evaluate,Sample Type,Reference,Acquisition information Background Result,Kiel IV Initial Pressure,Kiel IV Acid Temperature,Linearity Correction Result,Pressure Adjust Target Intensity,High Voltage,Kiel IV Residual CO₂ Pressure,Peak Center Result,Kiel IV Non Condensable Pressure,Pressure Adjust Result Intensity,Initial Intensity from µ-Volume,Kiel IV Leak Rate,Pressure Adjust Initial Intensity,Ion Source Pressure,Pressure Adjust Bellow Position,Kiel IV CO₂ Sample Pressure,Measuring from,Pressure Adjust failed with Target Intensity,Cycle Number,Sample Intensities Sample Intensity 44.00 m/z,45.00 m/z,45.00 m/z__dup2,46.00 m/z,46.00 m/z__dup2,Standard Intensities Standard Intensity 44.00 m/z,"Molecule Deltas CO2 Brand, Assonov and Coplen d45CO2",d46CO2,"CO2 Brand, Assonov and Coplen (Avg.) d45CO2 Mean",d45CO2 SD,d45CO2 SE,d46CO2 Mean,d46CO2 SD,d46CO2 SE,d 13C/12C  Mean,d 13C/12C  Std Dev,d 18O/16O  Mean,d 18O/16O  Std Dev,Excel File,Date,Date_ordinal,leak_rate,p_gases,p_no_acid,total_co2,1  Cycle Int  Samp  44,Identifier 1,Species,Identifier 2,Collector Status,Cycles Total,d13C Cycles Used,d18O Cycles Used,d13C Cycles Excluded,d18O Cycles Excluded,1  Cycle Int  Ref  44,1  Cycle Int  Diff Samp-Ref  44,1  Cycle Int  Pressure-Weighted Mismatch Samp-Ref  44
1.0,GIRMS\IRMS-operator,2026-01-26 16:06:20.121,2026-01-26 16:13:51.195,Error,False,SHP2L,<Comment>,1.0,1,2.0,True,QC Standard,SHP2L,"NA, NA, NA",23 µbar,72 °C,,,,,,,,,,,,,,,,Pre,,,,,,,,,,,,,,,,,,,Natan Pereira BTS coral series 1.xlsx,2026-01-26 16:06:20.121,739642.0,,,,,,SHP2L,,<Comment>,Failed Sample,0.0,0.0,0.0,0.0,0.0,,,
2.0,GIRMS\IRMS-operator,2026-01-26 16:16:40.474,2026-01-26 17:06:22.498,Success,False,BTS,1003*,2.0,2,2.0,True,Unknown,,"0.001 V, 0.000 V, 0.001 V",,72 °C,,6.466 V,9.5210 kV,93 µbar,Carbon Dioxide: 0.0210 kV,550 µbar,6.109 V,7.328 V,220 µbar/min,2.261 V,7.87E-008 mbar,31 %,868 µbar,µ-Volume,,Pre,5.537903077302339,6.013251549884915,6.189555709017061,7.90427376197079,8.258653177482875,5.793785817323091,-2.107493826767892,-3.599755535206084,-2.146104913294492,0.03067170055692435,0.010844083727162206,-3.6028545924324806,0.012626081828257068,0.0047722103643885625,-2.151620782798292,0.02852333193466445,-3.5963199013555758,0.02248525024034407,Natan Pereira BTS coral series 1.xlsx,2026-01-26 16:16:40.474,739642.0,220.0,550.0,93.0,868.0,5.384102580532089,BTS,,1003*,OK,8.0,7.0,7.0,0.0,0.0,5.568867690263153,-0.18476510973106475,-0.22419013388186107
3.0,GIRMS\IRMS-operator,2026-01-26 16:45:41.146,2026-01-26 17:33:40.384,Success,False,BTS,642*,3.0,1,3.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",32 µbar,72 °C,,7.269 V,9.5209 kV,35 µbar,Carbon Dioxide: 0.0209 kV,69 µbar,7.321 V,8.161 V,44 µbar/min,6.000 V,8.77E-008 mbar,24 %,892 µbar,µ-Volume,,Pre,6.618458875976034,7.1881296250065025,7.423403834721192,9.448108588149868,9.90678620601634,6.949681886992879,-1.7617912750282905,-3.501583102839767,-1.7926937629408615,0.019891639293692986,0.0070327565167435475,-3.5066778394651497,0.0273992272945272,0.009687089709615862,-1.7971084040712288,0.0167250014607705,-3.507405658983062,0.02951089969351314,Natan Pereira BTS coral series 1.xlsx,2026-01-26 16:45:41.146,739642.0,44.0,69.0,35.0,892.0,6.432136433342665,BTS,,642*,OK,8.0,7.0,7.0,0.0,0.0,6.6715448728786875,-0.23940843953602275,-0.2896799242788999
4.0,GIRMS\IRMS-operator,2026-01-26 17:06:22.618,2026-01-26 18:04:06.050,Success,False,BTS,384*,4.0,2,3.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",37 µbar,72 °C,,19.283 V,9.5206 kV,69 µbar,Carbon Dioxide: 0.0206 kV,81 µbar,13.759 V,23.143 V,117 µbar/min,7.154 V,1.36E-007 mbar,10 %,995 µbar,µ-Volume,17.107 V,Pre,17.084696553547545,18.507429142981792,14.262118942904666,24.36772515049932,19.037296669397332,13.366931341488527,-3.2862659414515383,-3.4996142601517732,-3.4855381115222044,0.1235055800756385,0.04366581659293106,-3.96607329527654,0.27616864968488586,0.09764036247165743,-3.514005564389443,0.1011543616581677,-4.032710300294363,0.2180276729254285,Natan Pereira BTS coral series 1.xlsx,2026-01-26 17:06:22.618,739642.0,117.0,81.0,69.0,995.0,16.239025853474303,BTS,,384*,OK,8.0,7.0,7.0,0.0,0.0,12.543791197140381,3.6952346563339216,6.003759480947251
5.0,GIRMS\IRMS-operator,2026-01-26 17:33:40.532,2026-01-26 18:38:55.649,Success,False,BTS,634,5.0,1,4.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",40 µbar,73 °C,,3.392 V,9.5203 kV,40 µbar,Carbon Dioxide: 0.0203 kV,69 µbar,3.356 V,3.975 V,139 µbar/min,12.931 V,5.52E-008 mbar,55 %,763 µbar,µ-Volume,,Pre,3.0907386174944507,3.356799446809192,3.4338345880089713,4.412373685559217,4.5807519597033535,3.213482791150738,-2.1234319646253885,-3.3997900634792355,-2.1230886959685837,0.024579758339482338,0.008690256900887277,-3.3706086158708795,0.023279345483246623,0.008230491526394056,-2.12303965758904,0.026548750672056247,-3.366439837641114,0.021680588917572085,Natan Pereira BTS coral series 1.xlsx,2026-01-26 17:33:40.532,739642.0,139.0,69.0,40.0,763.0,3.0083502543969987,BTS,,634,OK,8.0,7.0,7.0,0.0,0.0,3.0977387172675823,-0.08938846287058366,-0.10894697846749685
6.0,GIRMS\IRMS-operator,2026-01-26 18:04:06.170,2026-01-26 19:14:11.280,Success,False,SHP2L,<Comment>,6.0,2,4.0,True,QC Standard,SHP2L,"0.001 V, 0.001 V, 0.001 V",42 µbar,73 °C,,5.615 V,9.5208 kV,81 µbar,Carbon Dioxide: 0.0208 kV,84 µbar,5.322 V,6.305 V,103 µbar/min,2.294 V,6.99E-008 mbar,37 %,863 µbar,µ-Volume,,Pre,4.89735959175758,5.324635750724105,5.401892642202118,6.972273958288354,7.207466535119171,5.055808635864761,-0.9436820459262085,-6.2099875417541694,-0.9366917268228414,0.012136485459833347,0.004290895584210047,-6.223068662349923,0.012620670204361585,0.004462080742311543,-0.9356931098080746,0.01274895252203786,-6.224937393863603,0.012378801749487179,Natan Pereira BTS coral series 1.xlsx,2026-01-26 18:04:06.170,739642.0,103.0,84.0,81.0,863.0,4.765584018642757,SHP2L,,<Comment>,OK,8.0,7.0,7.0,0.0,0.0,4.86800436019636,-0.10242034155360269,-0.12583501290472837
7.0,GIRMS\IRMS-operator,2026-01-26 18:38:55.755,2026-01-26 19:42:38.052,Success,False,BTS,632,7.0,1,5.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",42 µbar,72 °C,,6.273 V,9.5206 kV,42 µbar,Carbon Dioxide: 0.0206 kV,81 µbar,6.350 V,7.058 V,139 µbar/min,5.242 V,7.87E-008 mbar,30 %,885 µbar,µ-Volume,,Pre,5.742836624613784,6.2396216606906325,6.429208953755422,8.197937262337199,8.578766238968363,6.018156433685351,-1.519698612580389,-3.5101338477596666,-1.5496986136477042,0.021926051812724882,0.007752029960712679,-3.5120192832079065,0.018861124051429683,0.006668414358783309,-1.553984328085892,0.019734448454843782,-3.512288631129084,0.020355717044751687,Natan Pereira BTS coral series 1.xlsx,2026-01-26 18:38:55.755,739642.0,139.0,81.0,42.0,885.0,5.584535936332105,BTS,,632,OK,8.0,7.0,7.0,0.0,0.0,5.787405955239956,-0.20287001890785117,-0.24568074412938487
8.0,GIRMS\IRMS-operator,2026-01-26 19:14:11.506,2026-01-26 20:14:56.130,Success,False,BTS,951,8.0,2,5.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",47 µbar,73 °C,,13.204 V,9.5204 kV,93 µbar,Carbon Dioxide: 0.0204 kV,150 µbar,11.740 V,15.577 V,117 µbar/min,6.230 V,1.19E-007 mbar,13 %,980 µbar,µ-Volume,,Pre,10.529918466653633,11.424654386581857,12.051695249618966,15.020831870502679,16.084581064647878,11.290071402635386,-2.151092683450706,-3.673407938403872,-2.2279364220862687,0.0471655902622396,0.016675554356547904,-3.7419683059436437,0.03488618259691435,0.012334128141995129,-2.238914099034206,0.038348455918056565,-3.751762644163611,0.022903030104982302,Natan Pereira BTS coral series 1.xlsx,2026-01-26 19:14:11.506,739642.0,117.0,150.0,93.0,980.0,10.117364917840769,BTS,,951,OK,8.0,7.0,7.0,0.0,0.0,10.642977849746028,-0.5256129319052594,-0.6270763246075384
9.0,GIRMS\IRMS-operator,2026-01-26 19:42:38.177,2026-01-26 20:47:23.366,Success,False,BTS,405,9.0,1,6.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",45 µbar,72 °C,,9.366 V,9.5200 kV,45 µbar,Carbon Dioxide: 0.0200 kV,79 µbar,9.206 V,10.796 V,125 µbar/min,11.145 V,1.00E-007 mbar,17 %,946 µbar,µ-Volume,,Pre,8.407090076600339,9.1283965264607,9.375865591670474,11.998073703036182,12.513311153635852,8.779880922223478,-1.7653332629947727,-3.586193767214585,-1.8184482343005652,0.031570214643626436,0.011161756429011547,-3.5749448300283877,0.008386388339339261,0.0031697568491290923,-1.8260360873442498,0.02500839990552988,-3.568712862215289,0.01336487069517784,Natan Pereira BTS coral series 1.xlsx,2026-01-26 19:42:38.177,739642.0,125.0,79.0,45.0,946.0,8.146305103250741,BTS,,405,OK,8.0,7.0,7.0,0.0,0.0,8.386222045804411,-0.2399169425536698,-0.29248617210854627
10.0,GIRMS\IRMS-operator,2026-01-26 20:14:56.224,2026-01-26 21:23:36.951,Success,False,BTS,872,10.0,2,6.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",47 µbar,72 °C,,7.250 V,9.5205 kV,103 µbar,Carbon Dioxide: 0.0205 kV,86 µbar,6.864 V,8.143 V,183 µbar/min,2.311 V,8.22E-008 mbar,28 %,919 µbar,µ-Volume,,Pre,6.2826453511611,6.826196142547846,6.951715611066863,8.967417421381922,9.276005274253004,6.507348178165189,-1.455553372399998,-3.609759837230553,-1.4619298407837904,0.019885008930848623,0.00703041232947906,-3.635585465665128,0.033118693868877856,0.011709226509362432,-1.462840764838618,0.0212972112171772,-3.639274841155782,0.03395018816944699,Natan Pereira BTS coral series 1.xlsx,2026-01-26 20:14:56.224,739642.0,183.0,86.0,103.0,919.0,6.108355066548206,BTS,,872,OK,8.0,7.0,7.0,0.0,0.0,6.2548993890181555,-0.14654432246994986,-0.17960691312961422
