Index,User name,Start Time,Stop Time,Status,Mark To Pause,Label,Comment,Run ID,Line,Vial,Evaluate,Sample Type,Reference,Acquisition information Background Result,Linearity Correction Result,Pressure Adjust Target Intensity,High Voltage,Kiel IV Initial Pressure,Kiel IV Residual CO₂ Pressure,Peak Center Result,Kiel IV Non Condensable Pressure,Pressure Adjust Result Intensity,Initial Intensity from µ-Volume,Kiel IV Leak Rate,Pressure Adjust Initial Intensity,Ion Source Pressure,Pressure Adjust Bellow Position,Kiel IV CO₂ Sample Pressure,Kiel IV Acid Temperature,Measuring from,Pressure Adjust failed with Target Intensity,Cycle Number,Sample Intensities Sample Intensity 44.00 m/z,45.00 m/z,45.00 m/z__dup2,46.00 m/z,46.00 m/z__dup2,Standard Intensities Standard Intensity 44.00 m/z,"Molecule Deltas CO2 Brand, Assonov and Coplen d45CO2",d46CO2,"CO2 Brand, Assonov and Coplen (Avg.) d45CO2 Mean",d45CO2 SD,d45CO2 SE,d46CO2 Mean,d46CO2 SD,d46CO2 SE,d 13C/12C  Mean,d 13C/12C  Std Dev,d 18O/16O  Mean,d 18O/16O  Std Dev,Excel File,Date,Date_ordinal,leak_rate,p_gases,p_no_acid,total_co2,1  Cycle Int  Samp  44,Identifier 1,Species,Identifier 2,Collector Status,Cycles Total,d13C Cycles Used,d18O Cycles Used,d13C Cycles Excluded,d18O Cycles Excluded,1  Cycle Int  Ref  44,1  Cycle Int  Diff Samp-Ref  44,1  Cycle Int  Pressure-Weighted Mismatch Samp-Ref  44,d13C_linearity_corrected,d18O_linearity_corrected,d13C_calibrated,d18O_calibrated,d13C_calibrated_linearity_corrected,d18O_calibrated_linearity_corrected
1.0,GIRMS\IRMS-operator,2026-03-20 13:30:11.955,2026-03-20 14:29:14.587,Success,False,SHP2L,,1.0,1,2.0,True,QC Standard,SHP2L,"0.001 V, 0.001 V, 0.001 V",,8.082 V,9.5203 kV,18 µbar,20 µbar,Carbon Dioxide: 0.0203 kV,47 µbar,7.474 V,9.161 V,39 µbar/min,3.330 V,8.64E-008 mbar,27 %,741 µbar,72 °C,µ-Volume,,Pre,7.326481997791935,7.9650113899932435,8.034844991871081,10.441197432198276,10.73306647650217,7.521672122122338,-0.8295212544969788,-6.159377863043547,-0.8453090988126855,0.0105650409080775,0.0027278818325989,-6.164325414595017,0.0254749487083041,0.00657760347285,-0.8480982934053969,0.0115737927834987,-6.159295091127063,0.0328917359186512,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 13:30:11.955,739695.0,39.0,47.0,20.0,741.0,7.085902979751296,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,7.175414169678215,-0.0895111899269194,-0.0832609067727175,-0.8480982934053969,-6.159295091127063,,,,
2.0,GIRMS\IRMS-operator,2026-03-20 14:00:39.516,2026-03-20 14:58:32.655,Success,False,780 - G. ruber,20-21,2.0,2,2.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",,12.061 V,9.5203 kV,20 µbar,40 µbar,Carbon Dioxide: 0.0203 kV,49 µbar,11.149 V,13.832 V,34 µbar/min,7.367 V,1.10E-007 mbar,12 %,814 µbar,72 °C,µ-Volume,,Pre,10.908814795777232,11.878641372895322,11.974440938210568,15.623071463062312,16.00035396332934,11.213733237906832,1.1365051979217444,-1.2133930888412747,1.0705451990790786,0.0363659918139452,0.0090914979534863,-1.233029898756947,0.0158668979596554,0.0040968154369145,1.066147865822901,0.032946396795581,-1.238080116834454,0.020538292966742,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 14:00:39.516,739695.0,34.0,49.0,40.0,814.0,10.537175816222568,780,G. ruber,20-21,OK,16.0,15.0,15.0,0.0,0.0,10.641890549870636,-0.104714733648068,-0.0976627185006986,1.126003763983019,-1.3208665420007828,1.2075592706009957,-0.9663891747272828,1.2075592706009957,-0.9663891747272828
3.0,GIRMS\IRMS-operator,2026-03-20 14:29:14.731,2026-03-20 15:30:29.058,Success,False,780 - G. ruber,18-19,3.0,1,3.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",,16.562 V,9.5200 kV,45 µbar,162 µbar,Carbon Dioxide: 0.0200 kV,52 µbar,11.741 V,19.219 V,83 µbar/min,10.866 V,1.13E-007 mbar,10 %,865 µbar,72 °C,µ-Volume,15.250 V,Pre,16.1734982778613,17.601859610677636,12.629163306356348,23.1602855005477,16.876540330908117,11.82808125515622,0.6958564917713961,-1.3057851217697092,0.7491855638658841,0.0618322695042348,0.0154580673760587,-1.2873473927073398,0.0166019026750589,0.0041504756687647,0.7527408353388498,0.0622866954502144,-1.2861182107698488,0.0164137016151856,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 14:29:14.731,739695.0,83.0,52.0,162.0,865.0,15.552715902525604,780,G. ruber,18-19,OK,16.0,15.0,15.0,0.0,0.0,11.213471689223704,4.3392442133019,5.668861140934719,0.8995819331190273,-1.48921347667332,0.9811189945592104,-1.1347958635051327,0.9811189945592104,-1.1347958635051327
4.0,GIRMS\IRMS-operator,2026-03-20 14:58:32.807,2026-03-20 16:06:09.574,Success,False,780 - G. ruber,16-17,4.0,2,3.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",,10.810 V,9.5199 kV,45 µbar,45 µbar,Carbon Dioxide: 0.0199 kV,54 µbar,10.915 V,12.325 V,73 µbar/min,11.408 V,1.08E-007 mbar,11 %,821 µbar,72 °C,µ-Volume,,Pre,10.600219285504943,11.547364022103668,11.743403698769928,15.184032810123584,15.691402447612903,10.997368968355282,1.5214305142947635,-1.0233628143758722,1.467300378959882,0.0305002238495496,0.0076250559623874,-1.0360924965445024,0.0148433547328277,0.0037108386832069,1.46369170327089,0.0278112838973835,-1.036941142022411,0.0149571528529865,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 14:58:32.807,739695.0,73.0,54.0,45.0,821.0,10.236337589639176,780,G. ruber,16-17,OK,16.0,15.0,15.0,0.0,0.0,10.439082595489962,-0.2027450058507867,-0.1872612895393208,1.5183301228060908,-1.112511295826757,1.5999175898115254,-0.7579599736495766,1.5999175898115254,-0.7579599736495766
5.0,GIRMS\IRMS-operator,2026-03-20 15:30:29.176,2026-03-20 16:49:33.663,Success,False,780 - G. ruber,14-15,5.0,1,4.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",,14.783 V,9.5200 kV,47 µbar,123 µbar,Carbon Dioxide: 0.0200 kV,54 µbar,12.236 V,17.029 V,220 µbar/min,3.336 V,1.15E-007 mbar,10 %,868 µbar,72 °C,µ-Volume,12.906 V,Pre,13.480655090457288,14.674296750220336,13.148969186934512,19.299637346364705,17.5724884558694,12.315697209483467,0.9320731602731058,-1.5406744927641824,0.8947945015428319,0.0207848583324849,0.0053666273449996,-1.5649530605814863,0.0135257333672887,0.00349232933845,0.8965911922282466,0.0249791223221445,-1.569789582758648,0.0167988740165081,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 15:30:29.176,739695.0,220.0,54.0,123.0,868.0,12.986443178302132,780,G. ruber,14-15,OK,16.0,15.0,15.0,0.0,0.0,11.669284836894358,1.317158341407774,1.380700695244322,0.9989250701766642,-1.7113271118772355,1.0804702244840882,-1.3569883371008018,1.0804702244840882,-1.3569883371008018
6.0,GIRMS\IRMS-operator,2026-03-20 16:06:09.673,2026-03-20 17:19:09.850,Success,False,SHP2L,,6.0,2,4.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.003 V",,3.561 V,9.5197 kV,47 µbar,47 µbar,Carbon Dioxide: 0.0197 kV,59 µbar,3.323 V,3.925 V,59 µbar/min,11.894 V,5.74E-008 mbar,74 %,670 µbar,72 °C,µ-Volume,,Pre,3.3228275962046543,3.613500735598144,3.626252180252719,4.736710246204903,4.843307953435469,3.3937420870675177,-0.7958584964444793,-6.014647827983555,-0.8111265830702171,0.0188823263397062,0.0048753956967557,-5.97555880569236,0.02105347279746,0.0054359833016262,-0.808306142876436,0.0238357454170881,-5.976640211286898,0.0234812944550222,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 16:06:09.673,739695.0,59.0,59.0,47.0,670.0,3.232649502408938,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,3.2592516368883406,-0.0266021344794027,-0.0248526549077401,-0.8751336464245878,-5.8842113898741415,,,,
7.0,GIRMS\IRMS-operator,2026-03-20 16:49:33.790,2026-03-20 17:52:48.278,Success,False,780 - G. ruber,6-7,7.0,1,5.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",,12.685 V,9.5198 kV,49 µbar,37 µbar,Carbon Dioxide: 0.0198 kV,54 µbar,11.442 V,14.582 V,107 µbar/min,3.300 V,1.09E-007 mbar,11 %,858 µbar,72 °C,µ-Volume,,Pre,11.198050996281657,12.194867521379653,12.289090266794558,16.03538324140339,16.421919362771796,11.50975693253355,1.338232431041364,-1.3011599395372777,1.2259080714029778,0.0300719263206367,0.0077645379885468,-1.28058422740894,0.0152931575990322,0.003823289399758,1.2259080714029775,0.0300719263206367,-1.2792125132670509,0.0147760088254539,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 16:49:33.790,739695.0,107.0,54.0,37.0,858.0,10.807312747456583,780,G. ruber,6-7,OK,16.0,15.0,15.0,0.0,0.0,10.918117782094034,-0.1108050346374511,-0.1033106315232066,1.290448991411951,-1.3684787712086788,1.3720178943594874,-1.0140183037151471,1.3720178943594874,-1.0140183037151471
8.0,GIRMS\IRMS-operator,2026-03-20 17:19:09.948,2026-03-20 18:30:34.392,Success,False,780 - G. ruber,34-35,8.0,2,5.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",,0.005 V,9.5196 kV,35 µbar,47 µbar,Carbon Dioxide: 0.0196 kV,242 µbar,3.120 V,0.005 V,83 µbar/min,11.117 V,5.60E-008 mbar,100 %,35 µbar,72 °C,µ-Volume,0.010 V,Pre,0.0054926676858313,0.0059320047040115,3.411345170647476,0.0078686658777421,4.556162160057899,3.1925359142936744,-7.66448921698204,-1.084905159312144,-8.049780954903934,1.010400970051415,0.2608844086667299,-2.0863120716902093,2.2577543031637104,0.5644385757909276,,,,,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 17:19:09.948,739695.0,83.0,242.0,47.0,35.0,0.0051109569380271,780,G. ruber,34-35,Failed Sample,16.0,15.0,15.0,0.0,0.0,3.063990643084799,-3.058879686146772,-0.0048060995321115,,,,,,
9.0,GIRMS\IRMS-operator,2026-03-20 17:52:48.387,2026-03-20 19:09:00.099,Success,False,780 - G. ruber,32-33,9.0,1,6.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",,0.021 V,9.5198 kV,52 µbar,42 µbar,Carbon Dioxide: 0.0198 kV,49 µbar,3.326 V,0.019 V,366 µbar/min,3.327 V,5.69E-008 mbar,100 %,59 µbar,72 °C,µ-Volume,0.022 V,Pre,0.0198114000510961,0.0213797281772598,3.631277562900815,0.0280419358796224,4.850008900850848,3.3982071520567696,-8.468532560097719,-13.053940854709122,-8.258998818185251,0.4604019905181785,0.1188752827891766,-11.734910370637149,1.059447506526014,0.2648618766315035,,,,,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 17:52:48.387,739695.0,366.0,49.0,42.0,59.0,0.0193762887589731,780,G. ruber,32-33,Failed Sample,16.0,15.0,15.0,0.0,0.0,3.259738098489503,-3.24036180973053,-0.0181424933572174,,,,,,
10.0,GIRMS\IRMS-operator,2026-03-20 18:30:34.519,2026-03-20 19:42:18.732,Success,False,780 - G. ruber,28-29,10.0,2,6.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",,7.277 V,9.5198 kV,40 µbar,42 µbar,Carbon Dioxide: 0.0198 kV,132 µbar,6.805 V,8.186 V,68 µbar/min,3.302 V,8.18E-008 mbar,30 %,748 µbar,72 °C,µ-Volume,,Pre,6.678971381797202,7.276617188492018,7.326252956428725,9.567125597854616,9.786113062759402,6.858105088144368,1.272859279862315,-1.08217010145939,1.243671109208394,0.0166582049438431,0.0041645512359607,-1.0566282190316991,0.0288054913126265,0.0072013728281566,1.2417252311647993,0.0152448842771591,-1.0549254268698534,0.0289710011061312,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 18:30:34.519,739695.0,68.0,132.0,42.0,748.0,6.475532675653523,780,G. ruber,28-29,OK,16.0,15.0,15.0,0.0,0.0,6.548043181637858,-0.0725105059843356,-0.0675430204941155,1.2311394952658692,-1.0402843428703616,1.312703566637765,-0.6857073840103567,1.312703566637765,-0.6857073840103567
