Standard,Isotopic_Value_Type,Value
IAEA-603,VPDB(13C),2.46
IAEA-603,VSMOW(18O),-2.37
IAEA-610,VPDB(13C),-9.109
IAEA-610,VSMOW(18O),-18.834
IAEA-611,VPDB(13C),-30.795
IAEA-611,VSMOW(18O),-4.224
IAEA-612,VPDB(13C),-36.722
IAEA-612,VSMOW(18O),-12.079
IAEA-CO-1,VPDB(13C),2.492
IAEA-CO-1,VSMOW(18O),-2.4
IAEA-CO-8,VPDB(13C),-5.764
IAEA-CO-8,VSMOW(18O),-22.7
IAEA-CO-9,VPDB(13C),-47.321
IAEA-CO-9,VSMOW(18O),-15.6
LSVEC,VPDB(13C),-46.6
NBS18,VPDB(13C),-5.014
NBS18,VSMOW(18O),-23.01
NBS19,VPDB(13C),1.95
NBS19,VSMOW(18O),-2.2
NBS20,VPDB(13C),-1.06
PDB,VPDB(13C),0
PDB,VSMOW(18O),0
SHP2L,VPDB(13C),-0.77
SHP2L,VSMOW(18O),-5.75
USGS44,VPDB(13C),-42.21
